,Name,Title,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Image,Real Time Net Worth,2022 Billionaires Net Worth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Quote,Source Page
0,Elon Musk,"CEO, Tesla",50,"Tesla, SpaceX, Self Made",8,1,"Austin, Texas",United States,Single,7,"Bachelor of Arts/Science, University of Pennsylvania","https://imageio.forbes.com/specials-images/imageserve/5f47d4de7637290765bce495/0x0.jpg?format=jpg&crop=2146,2145,x1699,y559,safe&height=416&width=416&fit=bounds",$225.5B,$219B,,,,,,,,,,,,,,,$2.7B,$8.4B,$12B,$10.7B,$13.9B,$19.9B,$22.3B,$24.6B,$151B,$219B,I operate on the physics approach to analysis. You boil things down to the first principles or fundamental truths in a particular area and then you reason up from there.,https://www.forbes.com/profile/elon-musk/?list=billionaires
1,Jeff Bezos,"Chairman and Founder, Amazon",58,"Amazon, Self Made",8,1,"Seattle, Washington",United States,In Relationship,4,"Bachelor of Arts/Science, Princeton University","https://imageio.forbes.com/specials-images/imageserve/5bb22ae84bbe6f67d2e82e05/0x0.jpg?format=jpg&crop=1012,1013,x627,y129,safe&height=416&width=416&fit=bounds",$147.4B,$171B,,,,,,,,,,,,,,,$25.2B,$32B,$34.8B,$45.2B,$72.8B,$112B,$131B,$113B,$177B,$171B,I didn't think I'd regret trying and failing. And I suspected I would always be haunted by a decision to not try at all.,https://www.forbes.com/profile/jeff-bezos/?list=billionaires
2,Bernard Arnault & family,"Chairman and CEO, LVMH Moët Hennessy Louis Vuitton",73,LVMH,,,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris","https://imageio.forbes.com/specials-images/imageserve/5dc05518ca425400079c659f/0x0.jpg?format=jpg&crop=4000,4003,x0,y1209,safe&height=416&width=416&fit=bounds",$154.9B,$158B,,,,,,,,,,,,,,,$29B,$33.5B,$37.2B,$34B,$41.5B,$72B,$76B,$76B,$150B,$158B,"I see myself as an ambassador of French heritage and French culture. What we create is emblematic. It's linked to Versailles, to Marie Antoinette.",https://www.forbes.com/profile/bernard-arnault/?list=billionaires
3,Bill Gates,"Cofounder, Bill & Melinda Gates Foundation",66,"Microsoft, Self Made",8,4,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University","https://imageio.forbes.com/specials-images/imageserve/5f4ebe0c87612dab4f12a597/0x0.jpg?format=jpg&crop=3392,3395,x292,y592,safe&height=416&width=416&fit=bounds",$127.7B,$129B,,,,,,,,,,,,,,,$67B,$76B,$79.2B,$75B,$86B,$90B,$96.5B,$98B,$124B,$129B,Money has no utility to me beyond a certain point. Its utility is entirely in building an organization and getting the resources out to the poorest in the world.,https://www.forbes.com/profile/bill-gates/?list=billionaires
4,Warren Buffett,"CEO, Berkshire Hathaway",91,"Berkshire Hathaway, Self Made",8,5,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln","https://imageio.forbes.com/specials-images/imageserve/5babb7f1a7ea4342a948b79a/0x0.jpg?format=jpg&crop=2327,2329,x748,y1753,safe&height=416&width=416&fit=bounds",$113.1B,$118B,,,,,,,,,,,,,,,$53.5B,$58.2B,$72.7B,$60.8B,$75.6B,$84B,$82.5B,$67.5B,$96B,$118B,Rational people don't risk what they have and need for what they don't have and don't need.,https://www.forbes.com/profile/warren-buffett/?list=billionaires
5,Larry Page,"Cofounder and board member, Alphabet",49,"Google, Self Made",8,1,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan","https://imageio.forbes.com/specials-images/imageserve/5c76bcaaa7ea43100043c836/0x0.jpg?format=jpg&crop=1795,1795,x227,y22,safe&height=416&width=416&fit=bounds",$98.1B,$111B,,,,,,,,,,,,,,,$23B,$32.3B,$29.7B,$35.2B,$40.7B,$48.8B,$50.8B,$50.9B,$91.5B,$111B,You never lose a dream; it just incubates as a hobby.,https://www.forbes.com/profile/larry-page/?list=billionaires
6,Sergey Brin,"Cofounder and board member, Alphabet",48,"Google, Self Made",9,1,"Los Altos, California",United States,Married,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park","https://imageio.forbes.com/specials-images/imageserve/5c7d7c254bbe6f78090d831f/0x0.jpg?format=jpg&crop=2412,2414,x475,y168,safe&height=416&width=416&fit=bounds",$94.3B,$107B,,,,,,,,,,,,,,,$22.8B,$31.8B,$29.2B,$34.4B,$39.8B,$47.5B,$49.8B,$49.1B,$89B,$107B,"Obviously everyone wants to be successful, but I want to be looked back on as being very innovative, very trusted and ethical and ultimately making a big difference in the world.",https://www.forbes.com/profile/sergey-brin/?list=billionaires
7,Larry Ellison,"CTO and Founder, Oracle",77,"software, Self Made",9,1,"Lanai, Hawaii",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign","https://imageio.forbes.com/specials-images/imageserve/5e8b62cfc095010007bffea0/0x0.jpg?format=jpg&crop=4529,4532,x0,y652,safe&height=416&width=416&fit=bounds",$98.6B,$106B,,,,,,,,,,,,,,,$43B,$48B,$54.3B,$43.6B,$52.2B,$58.5B,$62.5B,$59B,$93B,$106B,"When people start telling you that you're crazy, you just might be on to the most important innovation in your life.",https://www.forbes.com/profile/larry-ellison/?list=billionaires
8,Steve Ballmer,"Owner, Los Angeles Clippers",66,"Microsoft, Self Made",6,2,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University","https://imageio.forbes.com/specials-images/imageserve/59d50c47a7ea436b47b36d66/0x0.jpg?format=jpg&crop=2387,2386,x553,y322,safe&height=416&width=416&fit=bounds",$89.3B,$91.4B,,,,,,,,,,,,,,,$15.2B,$19.3B,$21.5B,$23.5B,$30B,$38.4B,$41.2B,$52.7B,$68.7B,$91.4B,Computer science is the operating system for all innovation.,https://www.forbes.com/profile/steve-ballmer/?list=billionaires
9,Mukesh Ambani,"Founder and Chairman, Reliance Industries",65,diversified,,,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai","https://imageio.forbes.com/specials-images/imageserve/5c7d7829a7ea434b351ba0b6/0x0.jpg?format=jpg&crop=1837,1839,x206,y250,safe&height=416&width=416&fit=bounds",$98B,$90.7B,,,,,,,,,,,,,,,$21.5B,$18.6B,$21B,$19.3B,$23.2B,$40.1B,$50B,$36.8B,$84.5B,$90.7B,Anything and everything that can go digital is going digital. India cannot afford to be left behind.,https://www.forbes.com/profile/mukesh-ambani/?list=billionaires
10,Gautam Adani & family,,59,"infrastructure, commodities, Self Made",,,"Ahmedabad, India",India,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/59cd4d61a7ea434a34f47b11/0x0.jpg?format=jpg&crop=3240,3240,x891,y69,safe&height=416&width=416&fit=bounds",$99.1B,$90B,,,,,,,,,,,,,,,,,,$3.5B,$5.8B,$9.7B,$8.7B,$8.9B,$50.5B,$90B,Being an entrepreneur is my dream job as it tests ones tenacity. I could never take orders from anyone.,https://www.forbes.com/profile/gautam-adani-1/?list=billionaires
11,Michael Bloomberg,"CEO, Bloomberg L.P.",80,"Bloomberg LP, Self Made",8,4,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University","https://imageio.forbes.com/specials-images/imageserve/5c76b4104bbe6f24ad99c35d/0x0.jpg?format=jpg&crop=5448,5448,x165,y321,safe&height=416&width=416&fit=bounds",$82B,$82B,,,,,,,,,,,,,,,$27B,$33B,$35.5B,$40B,$47.5B,$50B,$55.5B,$48B,$59B,$82B,Organizations resist innovation and those that do inevitably fail because people are more comfortable with what they know than with what they don't.,https://www.forbes.com/profile/michael-bloomberg/?list=billionaires
12,Carlos Slim Helu & family,"Honorary Chairman, América Móvil",82,"telecom, Self Made",,,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico","https://imageio.forbes.com/specials-images/imageserve/5c76ba144bbe6f24ad99c613/0x0.jpg?format=jpg&crop=3005,3006,x0,y389,safe&height=416&width=416&fit=bounds",$90.9B,$81.2B,,,,,,,,,,,,,,,$73B,$72B,$77.1B,$50B,$54.5B,$67.1B,$64B,$52.1B,$62.8B,$81.2B,"When you live for others' opinions, you are dead. I don't want to live thinking about how I'll be remembered.",https://www.forbes.com/profile/carlos-slim-helu/?list=billionaires
13,Francoise Bettencourt Meyers & family,,68,L'Oréal,,,"Paris, France",France,Married,2,,"https://imageio.forbes.com/specials-images/imageserve/605e26e3c65f7c2596bd3e15/0x0.jpg?format=jpg&crop=1080,1080,x0,y0,safe&height=416&width=416&fit=bounds",$69.8B,$74.8B,,,,,,,,,,,,,,,,,,,,$42.2B,$49.3B,$48.9B,$73.6B,$74.8B,,https://www.forbes.com/profile/francoise-bettencourt-meyers/?list=billionaires
14,Mark Zuckerberg,"Cofounder, Meta Platforms",38,"Facebook, Self Made",8,2,"Palo Alto, California",United States,Married,2,"Drop Out, Harvard University","https://imageio.forbes.com/specials-images/imageserve/5c76b7d331358e35dd2773a9/0x0.jpg?format=jpg&crop=4401,4401,x0,y0,safe&height=416&width=416&fit=bounds",$67.7B,$67.3B,,,,,,,,,,,,,,,$13.3B,$28.5B,$33.4B,$44.6B,$56B,$71B,$62.3B,$54.7B,$97B,$67.3B,"We may not have the power to create the world we want immediately, but we can all start working on the long term today.",https://www.forbes.com/profile/mark-zuckerberg/?list=billionaires
15,Jim Walton,"Chairman and CEO, Arvest Bank Group, Inc.",73,Walmart,2,1,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas","https://imageio.forbes.com/specials-images/imageserve/5c7ef2fea7ea434b351bca5a/0x0.jpg?format=jpg&crop=885,886,x49,y65,safe&height=416&width=416&fit=bounds",$60.1B,$66.2B,,,,,,,,,,,,,,,$26.7B,$34.7B,$40.6B,$33.6B,$34B,$46.4B,$44.6B,$54.6B,$60.2B,$66.2B,,https://www.forbes.com/profile/jim-walton/?list=billionaires
16,Zhong Shanshan,,67,"beverages, pharmaceuticals, Self Made",,,"Hangzhou, China",China,,,,"https://imageio.forbes.com/specials-images/imageserve/60380e390357bc1fbfc0bc32/0x0.jpg?format=jpg&crop=1211,1212,x116,y201,safe&height=416&width=416&fit=bounds",$65.6B,$65.7B,,,,,,,,,,,,,,,,,,,,,$1.8B,$2B,$68.9B,$65.7B,,https://www.forbes.com/profile/zhong-shanshan/?list=billionaires
17,Alice Walton,"Chairman, Crystal Bridges Museum of American Art",72,Walmart,1,2,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University","https://imageio.forbes.com/specials-images/imageserve/5c7ef270a7ea434b351bca52/0x0.jpg?format=jpg&crop=766,766,x232,y222,safe&height=416&width=416&fit=bounds",$59.2B,$65.3B,,,,,,,,,,,,,,,$26.3B,$34.3B,$39.4B,$32.3B,$33.8B,$46B,$44.4B,$54.4B,$61.8B,$65.3B,,https://www.forbes.com/profile/alice-walton/?list=billionaires
18,Rob Walton,"Director, Walmart",77,Walmart,4,1,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas","https://imageio.forbes.com/specials-images/imageserve/59d50a9e4bbe6f37dd9ff712/0x0.jpg?format=jpg&crop=1597,1598,x244,y60,safe&height=416&width=416&fit=bounds",$59B,$65B,,,,,,,,,,,,,,,$26.1B,$34.2B,$39.1B,$31.9B,$34.1B,$46.2B,$44.3B,$54.1B,$59.5B,$65B,,https://www.forbes.com/profile/rob-walton/?list=billionaires
19,Changpeng Zhao,,44,"cryptocurrency exchange, Self Made",,,"Singapore, Singapore",Canada,,,,"https://imageio.forbes.com/specials-images/imageserve/61115ac5b4c5d23845419c4e/0x0.jpg?format=jpg&crop=911,911,x0,y0,safe&height=416&width=416&fit=bounds",$17.4B,$65B,,,,,,,,,,,,,,,,,,,,$1.4B,$1.2B,,$1.9B,$65B,"We need to respect the market, with a level of caution too. It goes up and down in cycles. And especially the fact that it doesn?t always make sense.",https://www.forbes.com/profile/changpeng-zhao/?list=billionaires
