Item Number,Qty,Description,Condition,Price,Location,Quick/Bid,Image
75298,1,22 Oz Stainless Steel Top Water Bottle (Blue/Plastic),GOOD,$0.50,EA,Quick,Image
76631,15,4 in one mini locker units,GOOD,$15.00,EA,Quick,
75668,7,5' storage/file cabinet,GOOD,$5.00,EA,Quick,
73180,1,8-Pack Verbatim Brand Blank Logo CD-R CDR 80,POOR,$0.25,AMT,Quick,Image
75457,1,Acer Computer Charger,GOOD,$2.00,EA,Quick,Image
76683,1,ADC commercial gas dryer,FAIR,$400.00,EA,Quick,Image
76684,1,ADC commercial gas dryer,FAIR,$400.00,EA,Quick,Image
74561,1,AKG Earbuds Black,GOOD,$0.75,EA,Quick,Image
75470,1,APPLE EARPODS WITH LIGHTNING CONNECTOR,GOOD,$1.25,EA,Quick,Image
76183,1,AS 215 LAB,GOOD,$1.25,EA,Quick,Image
75209,4,"ATS Acoustics Rigid Fiberglass Board, 2inch",FAIR,$3.00,EA,Quick,Image
75307,1,Aviator Sunglasses,GOOD,$0.50,EA,Quick,Image
75440,1,Black Cat-eye Sunglasses,GOOD,$0.50,EA,Quick,Image
74661,1,Black Hearing Aid Left Ear,GOOD,$1.75,EA,Quick,Image
75309,2,Black Sunglasses,GOOD,$0.50,EA,Quick,Image
74776,1,Book Concepts of Ecology second edition by Edward J. Kormondy,GOOD,$1.25,EA,Quick,Image
74780,1,Book Food for us all The Yearbook of 1969 Agriculture,GOOD,$1.25,EA,Quick,Image
74773,1,Book Gardens in Glass Containers by Robert C Baur,GOOD,$1.25,EA,Quick,Image
74551,1,Book of Mormon Gospel Doctrine Teacher's Manual,GOOD,$1.25,EA,Quick,Image
74771,1,Book Plant Diversification Second Edition by Theodore Delevoryas,GOOD,$1.25,EA,Quick,Image
74778,1,Book The Good Guide by Alison L Grinder,EXCELLENT,$1.25,EA,Quick,Image
75774,1,Book: A Student Handbook for Writing in by Biology Karin Knisely,GOOD,$1.25,EA,Quick,Image
75302,1,Book: An Introduction to the History of by Psycology B.R. Hergenhahn,GOOD,$1.25,EA,Quick,Image
74772,1,Book: An introduction to the Principles of Plant Physiology by W. Stiles and EC Cocking,GOOD,$1.25,EA,Quick,Image
74548,1,Book: Daughters in My Kingdom: History of R.S.,GOOD,$1.00,EA,Quick,Image
74248,1,Book: Flying Lessons & Other Stories Edited By Ellen Oh,GOOD,$0.75,EA,Quick,Image
75772,1,Book: Helix by Eric Brown,GOOD,$1.25,EA,Quick,Image
75305,1,Book: Looking at Dances by Valerie,GOOD,$1.25,EA,Quick,Image
75320,1,Book: Looking at Dances by Valerie Preston-Dunlop,GOOD,$1.25,EA,Quick,Image
75300,1,Book: Looking Out Looking In by Ronald B Adler,GOOD,$1.25,EA,Quick,Image
75301,1,Book: Sports Psychology by Catherine A. Sanderson,GOOD,$1.25,EA,Quick,Image
74549,2,Book: Teachings of Presidents in the Church: Lorenzo Snow,GOOD,$1.00,EA,Quick,Image
75775,1,Book: The Bonzoi Handbook for Writers by Frederick Crews,GOOD,$1.25,EA,Quick,Image
75304,1,Book: The China Quarterly (March 2020 Edition),GOOD,$1.25,EA,Quick,Image
75771,8,Book: The Historian by Wiley Blackwell,GOOD,$1.25,EA,Quick,Image
75303,1,Book: The Scandal of Money by George Gilder,GOOD,$1.25,EA,Quick,Image
75410,1,Box of camera and power supply cables and,GOOD,$2.50,LOT,Quick,
75411,1,Box of replacement parts for Lowell tota and lights Lowell tripods,GOOD,$2.50,LOT,Quick,
75308,1,Brown Sunglasses,GOOD,$0.50,EA,Quick,Image
75280,1,Brushed and Polished Comfort Fit Wedding Ring,GOOD,$16.25,EA,Quick,Image
75324,1,Candy skull black and red headphones,GOOD,$0.50,EA,Quick,Image
75191,1,Catalyst 6500 Chassis,GOOD,$50.00,UT,Quick,
76137,1,Chick-fil-A Sandwich and Fry Display,GOOD,$121.25,EA,Quick,Image
75173,1,Cisco 6500 series chassis,GOOD,$50.00,EA,Quick,
75176,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75177,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75178,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75179,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75180,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75181,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75182,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75183,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75184,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75185,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75186,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75187,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75188,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75189,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75190,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75192,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75193,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75194,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75195,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75196,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75197,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75198,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75199,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75200,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75201,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75202,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75203,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
76915,80,"Coin Boxes - Pennies, Nickels, Dimes",EXCELLENT,$1.00,EA,Quick,
50232,733,COMPUTER - Keyboards,GOOD,$5.00,EA,Quick,
51847,647,COMPUTER - Mice,GOOD,$2.00,EA,Quick,
46633,393,COMPUTER - Power Cords,VARIES,$1.00,EA,Quick,
52804,1030,COMPUTER - USB Printer Cables,GOOD,$1.00,EA,Quick,Image
74491,1,Dakota turf tender 440,EXCELLENT,"$16,000.00",EA,Quick,
76815,1,Dell Optiflex 5050,FAIR,$90.00,EA,Quick,
76816,1,Dell Optiflex 5050,FAIR,$90.00,EA,Quick,
76847,4,Desisti De-Lux-2 Model 4600 Stage/Studio Light,FAIR,$320.00,EA,Bid,Image
76846,12,Desisti Giotto Model 4130 Stage/Studio Light,FAIR,$160.00,EA,Bid,Image
76849,6,Desisti Leonardo Model 310 Stage/Studio Light,FAIR,$150.00,EA,Bid,Image
76848,2,Desisti Leonardo Model 320 1000W Light Stage/Studio,FAIR,$200.00,EA,Bid,Image
76845,6,Desisti Magis Model 300. 60W Stage/Studio Light,FAIR,$125.00,EA,Bid,Image
76141,1,Dual Drawer Toast Master,GOOD,$180.00,EA,Quick,Image
76139,1,Duke Tray Warmer,GOOD,$243.75,EA,Quick,Image
75973,5,Electronics Vacuum,FAIR,$6.25,EA,Quick,
75706,1,Epson Receipt Printer TM-H6000IV,GOOD,$50.00,EA,Quick,Image
76844,1,Expandable conveyor,FAIR,$187.50,EA,Quick,Image
76174,1,Financial Accounting: Tools for Business Decision Making,GOOD,$1.25,EA,Quick,Image
76140,1,Fry Catch Basin,GOOD,$118.75,EA,Quick,Image
75413,1,Fujinon XS8X4ASXB8 Wide angle zoom lens for So PMW-EX3,UNKNOWN,$150.00,EA,Quick,
75278,1,GO AIR JLAB WIRELESS EARBUDS with charging,GOOD,$3.75,EA,Quick,Image
58571,43,Gray RCA Audio,VARIES,$1.00,EA,Quick,Image
74608,1,Gray Small Bucket,GOOD,$0.75,EA,Quick,Image
75341,1,Gray Wheel lift model wl30,EXCELLENT,"$3,995.00",EA,Bid,
76161,1,Grey and Black Jacket,GOOD,$0.75,EA,Quick,Image
75327,1,Grey BYU-I Winter Hat,GOOD,$0.50,EA,Quick,Image
76313,1,Hanging projector scissor lift,POOR,$50.00,EA,Quick,
75970,6,Hard Drive Enclosure,FAIR,$3.75,EA,Quick,
76246,1,HP ProDesk G1,FAIR,$15.00,EA,Quick,
72628,1,"Hydraulic  Reservoir  with cart    reservoir dims. 22"" wide    18"" deep    20"" high",GOOD,$50.00,UT,Quick,Image
