,URL
0,https://www.forbes.com/profile/elon-musk/?list=billionaires
1,https://www.forbes.com/profile/jeff-bezos/?list=billionaires
2,https://www.forbes.com/profile/bernard-arnault/?list=billionaires
3,https://www.forbes.com/profile/bill-gates/?list=billionaires
4,https://www.forbes.com/profile/warren-buffett/?list=billionaires
5,https://www.forbes.com/profile/larry-page/?list=billionaires
6,https://www.forbes.com/profile/sergey-brin/?list=billionaires
7,https://www.forbes.com/profile/larry-ellison/?list=billionaires
8,https://www.forbes.com/profile/steve-ballmer/?list=billionaires
9,https://www.forbes.com/profile/mukesh-ambani/?list=billionaires
10,https://www.forbes.com/profile/gautam-adani-1/?list=billionaires
11,https://www.forbes.com/profile/michael-bloomberg/?list=billionaires
12,https://www.forbes.com/profile/carlos-slim-helu/?list=billionaires
13,https://www.forbes.com/profile/francoise-bettencourt-meyers/?list=billionaires
14,https://www.forbes.com/profile/mark-zuckerberg/?list=billionaires
15,https://www.forbes.com/profile/jim-walton/?list=billionaires
16,https://www.forbes.com/profile/zhong-shanshan/?list=billionaires
17,https://www.forbes.com/profile/alice-walton/?list=billionaires
18,https://www.forbes.com/profile/rob-walton/?list=billionaires
19,https://www.forbes.com/profile/changpeng-zhao/?list=billionaires
20,https://www.forbes.com/profile/charles-koch/?list=billionaires
21,https://www.forbes.com/profile/julia-koch/?list=billionaires
22,https://www.forbes.com/profile/amancio-ortega/?list=billionaires
23,https://www.forbes.com/profile/amancio-ortega/?list=billionaires
24,https://www.forbes.com/profile/zhang-yiming/?list=billionaires
25,https://www.forbes.com/profile/david-thomson/?list=billionaires
26,https://www.forbes.com/profile/phil-knight/?list=billionaires
27,https://www.forbes.com/profile/dieter-schwarz/?list=billionaires
28,https://www.forbes.com/profile/robin-zeng/?list=billionaires
29,https://www.forbes.com/profile/mackenzie-scott/?list=billionaires
30,https://www.forbes.com/profile/rodolphe-saade/?list=billionaires
31,https://www.forbes.com/profile/francois-pinault/?list=billionaires
32,https://www.forbes.com/profile/klaus-michael-kuehne/?list=billionaires
33,https://www.forbes.com/profile/ma-huateng/?list=billionaires
34,https://www.forbes.com/profile/beate-heister-karl-albrecht-jr/?list=billionaires
35,https://www.forbes.com/profile/giovanni-ferrero/?list=billionaires
36,https://www.forbes.com/profile/li-ka-shing/?list=billionaires
37,https://www.forbes.com/profile/stephen-schwarzman/?list=billionaires
38,https://www.forbes.com/profile/lee-shau-kee/?list=billionaires
39,https://www.forbes.com/profile/len-blavatnik/?list=billionaires
40,https://www.forbes.com/profile/jacqueline-mars/?list=billionaires
41,https://www.forbes.com/profile/john-mars/?list=billionaires
42,https://www.forbes.com/profile/alain-wertheimer/?list=billionaires
43,https://www.forbes.com/profile/gerard-wertheimer-1/?list=billionaires
44,https://www.forbes.com/profile/german-larrea-mota-velasco/?list=billionaires
45,https://www.forbes.com/profile/gina-rinehart/?list=billionaires
46,https://www.forbes.com/profile/shiv-nadar/?list=billionaires
47,https://www.forbes.com/profile/jim-simons/?list=billionaires
48,https://www.forbes.com/profile/he-xiangjian/?list=billionaires
49,https://www.forbes.com/profile/miriam-adelson/?list=billionaires
50,https://www.forbes.com/profile/dietrich-mateschitz/?list=billionaires
51,https://www.forbes.com/profile/leonardo-del-vecchio/?list=billionaires
52,https://www.forbes.com/profile/ken-griffin/?list=billionaires
53,https://www.forbes.com/profile/tadashi-yanai/?list=billionaires
54,https://www.forbes.com/profile/william-lei-ding/?list=billionaires
55,https://www.forbes.com/profile/susanne-klatten/?list=billionaires
56,https://www.forbes.com/profile/cyrus-poonawalla/?list=billionaires
57,https://www.forbes.com/profile/wang-wei/?list=billionaires
58,https://www.forbes.com/profile/qin-yinglin/?list=billionaires
59,https://www.forbes.com/profile/sam-bankman-fried/?list=billionaires
